display,code,extension
Microsoft Office - OOXML - Spreadsheet Template,application/vnd.openxmlformats-officedocument.wordprocessingml.document,.xltx
Microsoft Office - OOXML - Word Document,application/vnd.openxmlformats-officedocument.wordprocessingml.template,.docx
Microsoft Office - OOXML - Word Document Template,application/x-msbinder,.dotx
Microsoft Office Binder,application/vnd.ms-officetheme,.obd
Microsoft Office System Release Theme,application/onenote,.thmx
Microsoft OneNote,audio/vnd.ms-playready.media.pya,.onetoc
Microsoft PlayReady Ecosystem,video/vnd.ms-playready.media.pyv,.pya
Microsoft PlayReady Ecosystem Video,application/vnd.ms-powerpoint,.pyv
Microsoft PowerPoint,application/vnd.ms-powerpoint.addin.macroenabled.12,.ppt
Microsoft PowerPoint - Add-in file,application/vnd.ms-powerpoint.slide.macroenabled.12,.ppam
Microsoft PowerPoint - Macro-Enabled Open XML Slide,application/vnd.ms-powerpoint.presentation.macroenabled.12,.sldm
Microsoft PowerPoint - Macro-Enabled Presentation File,application/vnd.ms-powerpoint.slideshow.macroenabled.12,.pptm
Microsoft PowerPoint - Macro-Enabled Slide Show File,application/vnd.ms-powerpoint.template.macroenabled.12,.ppsm
Microsoft PowerPoint - Macro-Enabled Template File,application/vnd.ms-project,.potm
Microsoft Project,application/x-mspublisher,.mpp
Microsoft Publisher,application/x-msschedule,.pub
Microsoft Schedule+,application/x-silverlight-app,.scd
Microsoft Silverlight,application/vnd.ms-pki.stl,.xap
Microsoft Trust UI Provider - Certificate Trust Link,application/vnd.ms-pki.seccat,.stl
Microsoft Trust UI Provider - Security Catalog,application/vnd.visio,.cat
Microsoft Visio,application/vnd.visio2013,.vsd
Microsoft Visio 2013,video/x-ms-wm,.vsdx
Microsoft Windows Media,audio/x-ms-wma,.wm
Microsoft Windows Media Audio,audio/x-ms-wax,.wma
Microsoft Windows Media Audio Redirector,video/x-ms-wmx,.wax
Microsoft Windows Media Audio/Video Playlist,application/x-ms-wmd,.wmx
Microsoft Windows Media Player Download Package,application/vnd.ms-wpl,.wmd
Microsoft Windows Media Player Playlist,application/x-ms-wmz,.wpl
Microsoft Windows Media Player Skin Package,video/x-ms-wmv,.wmz
Microsoft Windows Media Video,video/x-ms-wvx,.wmv
Microsoft Windows Media Video Playlist,application/x-msmetafile,.wvx
Microsoft Windows Metafile,application/x-msterminal,.wmf
Microsoft Windows Terminal Services,application/msword,.trm
Microsoft Word,application/vnd.ms-word.document.macroenabled.12,.doc
Microsoft Word - Macro-Enabled Document,application/vnd.ms-word.template.macroenabled.12,.docm
Microsoft Word - Macro-Enabled Template,application/x-mswrite,.dotm
Microsoft Wordpad,application/vnd.ms-works,.wri
Microsoft Works,application/x-ms-xbap,.wps
Microsoft XAML Browser Application,application/vnd.ms-xpsdocument,.xbap
Microsoft XML Paper Specification,audio/midi,.xps
MIDI,application/vnd.ibm.minipay,.midi
MIDI - Musical Instrument Digital Interface,application/vnd.ibm.modcap,.mid
MiniPay,application/vnd.jcp.javame.midlet-rms,.mpy
MO:DCA-P,application/vnd.tmobile-livetv,.afp
Mobile Information Device Profile,application/x-mobipocket-ebook,.rms
MobileTV,application/vnd.mobius.mbk,.tmo
Mobipocket,application/vnd.mobius.dis,.prc
Mobius Management Systems - Basket file,application/vnd.mobius.plc,.mbk
Mobius Management Systems - Distribution Database,application/vnd.mobius.mqy,.dis
Mobius Management Systems - Policy Definition Language File,application/vnd.mobius.msl,.plc
Mobius Management Systems - Query File,application/vnd.mobius.txf,.mqy
Mobius Management Systems - Script Language,application/vnd.mobius.daf,.msl
Mobius Management Systems - Topic Index File,text/vnd.fly,.txf
Mobius Management Systems - UniversalArchive,application/vnd.mophun.certificate,.daf
mod_fly / fly.cgi,application/vnd.mophun.application,.fly
Mophun Certificate,video/mj2,.mpc
Mophun VM,audio/mpeg,.mpn
Motion JPEG 2000,video/mp2t,.mj2
MPEG Audio,video/vnd.mpegurl,.mpga
MPEG Transport Stream,video/mpeg,.ts
MPEG Url,application/mp21,.mxu
MPEG Video,audio/mp4,.mpeg
MPEG-21,video/mp4,.m21
MPEG-4 Audio,application/mp4,.mp4a
MPEG-4 Video,application/vnd.apple.mpegurl,.mp4
MPEG4,application/vnd.musician,.mp4
Multimedia Playlist Unicode,application/vnd.muvee.style,.m3u8
MUsical Score Interpreted Code Invented for the ASCII designation of Notation,application/xv+xml,.mus
Muvee Automatic Video Editing,application/vnd.nokia.n-gage.data,.msty
MXML,application/vnd.nokia.n-gage.symbian.install,.mxml
N-Gage Game Data,application/x-dtbncx+xml,.ngdat
N-Gage Game Installer,application/x-netcdf,.n-gage
Navigation Control file for XML (for ePub),application/vnd.neurolanguage.nlu,.ncx
Network Common Data Form (NetCDF),application/vnd.dna,.nc
neuroLanguage,application/vnd.noblenet-directory,.nlu
New Moon Liftoff/DNA,application/vnd.noblenet-sealer,.dna
NobleNet Directory,application/vnd.noblenet-web,.nnd
NobleNet Sealer,application/vnd.nokia.radio-preset,.nns
NobleNet Web,application/vnd.nokia.radio-presets,.nnw
Nokia Radio Application - Preset,text/n3,.rpst
Nokia Radio Application - Preset,application/vnd.novadigm.edm,.rpss
Notation3,application/vnd.novadigm.edx,.n3
Novadigm's RADIA and EDM products,application/vnd.novadigm.ext,.edm
Novadigm's RADIA and EDM products,application/vnd.flographit,.edx
Novadigm's RADIA and EDM products,audio/vnd.nuera.ecelp4800,.ext
NpGraphIt,audio/vnd.nuera.ecelp7470,.gph
Nuera ECELP 4800,audio/vnd.nuera.ecelp9600,.ecelp4800
Nuera ECELP 7470,application/oda,.ecelp7470
Nuera ECELP 9600,application/ogg,.ecelp9600
Office Document Architecture,audio/ogg,.oda
Ogg,video/ogg,.ogx
Ogg Audio,application/vnd.oma.dd2+xml,.oga
Ogg Video,application/vnd.oasis.opendocument.text-web,.ogv
OMA Download Agents,application/oebps-package+xml,.dd2
Open Document Text Web,application/vnd.intu.qbo,.oth
Open eBook Publication Structure,application/vnd.openofficeorg.extension,.opf
Open Financial Exchange,application/vnd.yamaha.openscoreformat,.qbo
Open Office Extension,audio/webm,.oxt
Open Score Format,video/webm,.osf
Open Web Media Project - Audio,application/vnd.oasis.opendocument.chart,.weba
Open Web Media Project - Video,application/vnd.oasis.opendocument.chart-template,.webm
OpenDocument Chart,application/vnd.oasis.opendocument.database,.odc
OpenDocument Chart Template,application/vnd.oasis.opendocument.formula,.otc
OpenDocument Database,application/vnd.oasis.opendocument.formula-template,.odb
OpenDocument Formula,application/vnd.oasis.opendocument.graphics,.odf
OpenDocument Formula Template,application/vnd.oasis.opendocument.graphics-template,.odft
OpenDocument Graphics,application/vnd.oasis.opendocument.image,.odg
OpenDocument Graphics Template,application/vnd.oasis.opendocument.image-template,.otg
OpenDocument Image,application/vnd.oasis.opendocument.presentation,.odi
OpenDocument Image Template,application/vnd.oasis.opendocument.presentation-template,.oti
OpenDocument Presentation,application/vnd.oasis.opendocument.spreadsheet,.odp
OpenDocument Presentation Template,application/vnd.oasis.opendocument.spreadsheet-template,.otp
OpenDocument Spreadsheet,application/vnd.oasis.opendocument.text,.ods
OpenDocument Spreadsheet Template,application/vnd.oasis.opendocument.text-master,.ots
OpenDocument Text,application/vnd.oasis.opendocument.text-template,.odt
OpenDocument Text Master,image/ktx,.odm
OpenDocument Text Template,application/vnd.sun.xml.calc,.ott
OpenGL Textures (KTX),application/vnd.sun.xml.calc.template,.ktx
OpenOffice - Calc (Spreadsheet),application/vnd.sun.xml.draw,.sxc
OpenOffice - Calc Template (Spreadsheet),application/vnd.sun.xml.draw.template,.stc
OpenOffice - Draw (Graphics),application/vnd.sun.xml.impress,.sxd
OpenOffice - Draw Template (Graphics),application/vnd.sun.xml.impress.template,.std
OpenOffice - Impress (Presentation),application/vnd.sun.xml.math,.sxi
OpenOffice - Impress Template (Presentation),application/vnd.sun.xml.writer,.sti
OpenOffice - Math (Formula),application/vnd.sun.xml.writer.global,.sxm
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer.template,.sxw
OpenOffice - Writer (Text - HTML),application/x-font-otf,.sxg
OpenOffice - Writer Template (Text - HTML),audio/opus,.stw
OpenType Font File,application/vnd.yamaha.openscoreformat.osfpvg+xml,.otf
Opus Audio,application/vnd.osgi.dp,.opus
OSFPVG,application/vnd.palm,.osfpvg
OSGi Deployment Package,text/x-pascal,.dp
PalmOS Data,application/vnd.pawaafile,.pdb
Pascal Source File,application/vnd.hp-pclxl,.p
PawaaFILE,application/vnd.picsel,.paw
PCL 6 Enhanced (Formely PCL XL),image/x-pcx,.pclxl
Pcsel eFIF File,image/vnd.adobe.photoshop,.efif
PCX Image,application/pics-rules,.pcx
Photoshop Document,image/x-pict,.psd
PICSRules,application/x-chat,.prf
PICT Image,application/pkcs10,.pic
pIRCh,application/x-pkcs12,.chat
PKCS #10 - Certification Request Standard,application/pkcs7-mime,.p10
PKCS #12 - Personal Information Exchange Syntax Standard,application/pkcs7-signature,.p12
PKCS #7 - Cryptographic Message Syntax Standard,application/x-pkcs7-certreqresp,.p7m
PKCS #7 - Cryptographic Message Syntax Standard,application/x-pkcs7-certificates,.p7s
PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response),application/pkcs8,.p7r
PKCS #7 - Cryptographic Message Syntax Standard (Certificates),application/vnd.pocketlearn,.p7b
PKCS #8 - Private-Key Information Syntax Standard,image/x-portable-anymap,.p8
PocketLearn Viewers,image/x-portable-bitmap,.plf
Portable Anymap Image,application/x-font-pcf,.pnm
Portable Bitmap Format,application/font-tdpfr,.pbm
Portable Compiled Format,application/x-chess-pgn,.pcf
Portable Font Resource,image/x-portable-graymap,.pfr
Portable Game Notation (Chess Games),image/png,.pgn
Portable Graymap Format,image/x-citrix-png,.pgm
Portable Network Graphics (PNG),image/x-png,.png
Portable Network Graphics (PNG) (Citrix client),image/x-portable-pixmap,.png
Portable Network Graphics (PNG) (x-token),application/pskc+xml,.png
Portable Pixmap Format,application/vnd.ctc-posml,.ppm
Portable Symmetric Key Container,application/postscript,.pskcxml
PosML,application/x-font-type1,.pml
PostScript,application/vnd.powerbuilder6,.ai
PostScript Fonts,application/pgp-encrypted,.pfa
PowerBuilder,application/pgp-signature,.pbd
Pretty Good Privacy,application/vnd.previewsystems.box,.pgp
Pretty Good Privacy - Signature,application/vnd.pvi.ptid1,.pgp
Preview Systems ZipLock/VBox,application/pls+xml,.box
Princeton Video Image,application/vnd.pg.format,.ptid
Pronunciation Lexicon Specification,application/vnd.pg.osasli,.pls
Proprietary P&G Standard Reporting System,text/prs.lines.tag,.str
Proprietary P&G Standard Reporting System,application/x-font-linux-psf,.ei6
PRS Lines Tag,application/vnd.publishare-delta-tree,.dsc
PSF Fonts,application/vnd.pmi.widget,.psf
PubliShare Objects,application/vnd.quark.quarkxpress,.qps
Qualcomm's Plaza Mobile Internet,application/vnd.epson.esf,.wg
QuarkXpress,application/vnd.epson.msf,.qxd
QUASS Stream Player,application/vnd.epson.ssf,.esf
QUASS Stream Player,application/vnd.epson.quickanime,.msf
QUASS Stream Player,application/vnd.intu.qfx,.ssf
QuickAnime Player,video/quicktime,.qam
Quicken,application/x-rar-compressed,.qfx
Quicktime Video,audio/x-pn-realaudio,.qt
RAR Archive,audio/x-pn-realaudio-plugin,.rar
Real Audio Sound,application/rsd+xml,.ram
Real Audio Sound,application/vnd.rn-realmedia,.rmp
Really Simple Discovery,application/vnd.realvnc.bed,.rsd
RealMedia,application/vnd.recordare.musicxml,.rm
RealVNC,application/vnd.recordare.musicxml+xml,.bed
Recordare Applications,application/relax-ng-compact-syntax,.mxl
Recordare Applications,application/vnd.data-vision.rdz,.musicxml
Relax NG Compact Syntax,application/rdf+xml,.rnc
RemoteDocs R-Viewer,application/vnd.cloanto.rp9,.rdz
Resource Description Framework,application/vnd.jisp,.rdf
RetroPlatform Player,application/rtf,.rp9
RhymBox,text/richtext,.jisp
Rich Text Format,application/vnd.route66.link66+xml,.rtf
Rich Text Format (RTF),application/rss+xml,.rtx
ROUTE 66 Location Based Services,application/shf+xml,.link66
RSS - Really Simple Syndication,application/vnd.sailingtracker.track,".rss, .xml"
S Hexdump Format,image/svg+xml,.shf
SailingTracker,application/vnd.sus-calendar,.st
Scalable Vector Graphics (SVG),application/sru+xml,.svg
ScheduleUs,application/set-payment-initiation,.sus
Search/Retrieve via URL Response Format,application/set-registration-initiation,.sru
Secure Electronic Transaction - Payment,application/vnd.sema,.setpay
Secure Electronic Transaction - Registration,application/vnd.semd,.setreg
Secured eMail,application/vnd.semf,.sema
Secured eMail,application/vnd.seemail,.semd
Secured eMail,application/x-font-snf,.semf
SeeMail,application/scvp-vp-request,.see
Server Normal Format,application/scvp-vp-response,.snf
Server-Based Certificate Validation Protocol - Validation Policies - Request,application/scvp-cv-request,.spq
Server-Based Certificate Validation Protocol - Validation Policies - Response,application/scvp-cv-response,.spp
Server-Based Certificate Validation Protocol - Validation Request,application/sdp,.scq
Server-Based Certificate Validation Protocol - Validation Response,text/x-setext,.scs
Session Description Protocol,video/x-sgi-movie,.sdp
Setext,application/vnd.shana.informed.formdata,.etx
SGI Movie,application/vnd.shana.informed.formtemplate,.movie
Shana Informed Filler,application/vnd.shana.informed.interchange,.ifm
Shana Informed Filler,application/vnd.shana.informed.package,.itp
Shana Informed Filler,application/thraud+xml,.iif
Shana Informed Filler,application/x-shar,.ipk
Sharing Transaction Fraud Data,image/x-rgb,.tfi
Shell Archive,application/vnd.epson.salt,.shar
Silicon Graphics RGB Bitmap,application/vnd.accpac.simply.aso,.rgb
SimpleAnimeLite Player,application/vnd.accpac.simply.imp,.slt
Simply Accounting,application/vnd.simtech-mindmapper,.aso
Simply Accounting - Data Import,application/vnd.commonspace,.imp
SimTech MindMapper,application/vnd.yamaha.smaf-audio,.twd
Sixth Floor Media - CommonSpace,application/vnd.smaf,.csp
SMAF Audio,application/vnd.yamaha.smaf-phrase,.saf
SMAF File,application/vnd.smart.teacher,.mmf
SMAF Phrase,application/vnd.svd,.spf
SMART Technologies Apps,application/sparql-query,.teacher
SourceView Document,application/sparql-results+xml,.svd
SPARQL - Query,application/srgs,.rq
SPARQL - Results,application/srgs+xml,.srx
Speech Recognition Grammar Specification,application/ssml+xml,.gram
Speech Recognition Grammar Specification - XML,application/vnd.koan,.grxml
Speech Synthesis Markup Language,text/sgml,.ssml
SSEYO Koan Play File,application/vnd.stardivision.calc,.skp
Standard Generalized Markup Language (SGML),application/vnd.stardivision.draw,.sgml
StarOffice - Calc,application/vnd.stardivision.impress,.sdc
StarOffice - Draw,application/vnd.stardivision.math,.sda
StarOffice - Impress,application/vnd.stardivision.writer,.sdd
StarOffice - Math,application/vnd.stardivision.writer-global,.smf
StarOffice - Writer,application/vnd.stepmania.stepchart,.sdw
StarOffice - Writer (Global),application/x-stuffit,.sgl
StepMania,application/x-stuffitx,.sm
Stuffit Archive,application/vnd.solent.sdkm+xml,.sit
Stuffit Archive,application/vnd.olpc-sugar,.sitx
SudokuMagic,audio/basic,.sdkm
Sugar Linux Application Bundle,application/vnd.wqd,.xo
Sun Audio - Au file format,application/vnd.symbian.install,.au
SundaHus WQ,application/smil+xml,.wqd
Symbian Install Package,application/vnd.syncml+xml,.sis
Synchronized Multimedia Integration Language,application/vnd.syncml.dm+wbxml,.smi
SyncML,application/vnd.syncml.dm+xml,.xsm
SyncML - Device Management,application/x-sv4cpio,.bdm
SyncML - Device Management,application/x-sv4crc,.xdm
System V Release 4 CPIO Archive,application/sbml+xml,.sv4cpio
System V Release 4 CPIO Checksum Data,text/tab-separated-values,.sv4crc
Systems Biology Markup Language,image/tiff,.sbml
Tab Seperated Values,application/vnd.tao.intent-module-archive,.tsv
Tagged Image File Format,application/x-tar,.tiff
Tao Intent,application/x-tcl,.tao
Tar File (Tape Archive),application/x-tex,.tar
Tcl Script,application/x-tex-tfm,.tcl
TeX,application/tei+xml,.tex
TeX Font Metric,text/plain,.tfm
Text Encoding and Interchange,application/vnd.spotfire.dxp,.tei
Text File,application/vnd.spotfire.sfs,.txt
TIBCO Spotfire,application/timestamped-data,.dxp
TIBCO Spotfire,application/vnd.trid.tpt,.sfs
Time Stamped Data Envelope,application/vnd.triscape.mxs,.tsd
TRI Systems Config,text/troff,.tpt
Triscape Map Explorer,application/vnd.trueapp,.mxs
troff,application/x-font-ttf,.t
True BASIC,text/turtle,.tra
TrueType Font,application/vnd.umajin,.ttf
Turtle (Terse RDF Triple Language),application/vnd.uoml+xml,.ttl
UMAJIN,application/vnd.unity,.umj
Unique Object Markup Language,application/vnd.ufdl,.uoml
Unity 3d,text/uri-list,.unityweb
Universal Forms Description Language,application/vnd.uiq.theme,.ufd
URI Resolution Services,application/x-ustar,.uri
User Interface Quartz - Theme (Symbian),text/x-uuencode,.utz
Ustar (Uniform Standard Tape Archive),text/x-vcalendar,.ustar
UUEncode,text/x-vcard,.uu
vCalendar,application/x-cdlink,.vcs
vCard,application/vnd.vsf,.vcf
Video CD,model/vrml,.vcd
Viewport+,application/vnd.vcx,.vsf
Virtual Reality Modeling Language,model/vnd.mts,.wrl
VirtualCatalog,model/vnd.vtu,.vcx
Virtue MTS,application/vnd.visionary,.mts
Virtue VTU,video/vnd.vivo,.vtu
Visionary,"application/ccxml+xml,",.vis
Vivo,application/voicexml+xml,.viv
Voice Browser Call Control,application/x-wais-source,.ccxml
VoiceXML,application/vnd.wap.wbxml,.vxml
WAIS Source,image/vnd.wap.wbmp,.src
WAP Binary XML (WBXML),audio/x-wav,.wbxml
WAP Bitamp (WBMP),application/davmount+xml,.wbmp
Waveform Audio File Format (WAV),application/x-font-woff,.wav
Web Distributed Authoring and Versioning,application/wspolicy+xml,.davmount
Web Open Font Format,image/webp,.woff
Web Services Policy,application/vnd.webturbo,.wspolicy
WebP Image,application/widget,.webp
WebTurbo,application/winhlp,.wtb
Widget Packaging and XML Configuration,text/vnd.wap.wml,.wgt
WinHelp,text/vnd.wap.wmlscript,.hlp
Wireless Markup Language (WML),application/vnd.wap.wmlscriptc,.wml
Wireless Markup Language Script (WMLScript),application/vnd.wordperfect,.wmls
WMLScript,application/vnd.wt.stf,.wmlsc
Wordperfect,application/wsdl+xml,.wpd
Worldtalk,image/x-xbitmap,.stf
WSDL - Web Services Description Language,image/x-xpixmap,.wsdl
X BitMap,image/x-xwindowdump,.xbm
X PixMap,application/x-x509-ca-cert,.xpm
X Window Dump,application/x-xfig,.xwd
X.509 Certificate,application/xhtml+xml,.der
Xfig,application/xml,.fig
XHTML - The Extensible HyperText Markup Language,application/xcap-diff+xml,.xhtml
XML - Extensible Markup Language,application/xenc+xml,.xml
XML Configuration Access Protocol - XCAP Diff,application/patch-ops-error+xml,.xdf
XML Encryption Syntax and Processing,application/resource-lists+xml,.xenc
XML Patch Framework,application/rls-services+xml,.xer
XML Resource Lists,application/resource-lists-diff+xml,.rl
XML Resource Lists,application/xslt+xml,.rs
XML Resource Lists Diff,application/xop+xml,.rld
XML Transformations,application/x-xpinstall,.xslt
XML-Binary Optimized Packaging,application/xspf+xml,.xop
XPInstall - Mozilla,application/vnd.mozilla.xul+xml,.xpi
XSPF - XML Shareable Playlist Format,chemical/x-xyz,.xspf
XUL - XML User Interface Language,text/yaml,.xul
XYZ File Format,application/yang,.xyz
YAML Ain't Markup Language / Yet Another Markup Language,application/yin+xml,.yaml
YANG Data Modeling Language,application/vnd.zul,.yang
YIN (YANG - XML),application/zip,.yin
Z.U.L. Geometry,application/vnd.handheld-entertainment+xml,.zir
Zip Archive,application/vnd.zzazz.deck+xml,.zip